web-scraper-order,web-scraper-start-url,poem-link,poem-link-href,poem-text
"1680542961-71","https://poestories.com/poetry.php","""The Valley of Unrest""","https://poestories.com/read/valleyunrest","Once it smiled a silent dell

Where the people did not dwell;

They had gone unto the wars,

Trusting to the mild-eyed stars,

Nightly, from their azure towers,

To keep watch above the flowers,

In the midst of which all day

The red sun-light lazily lay.

Now each visitor shall confess

The sad valley's restlessness.

Nothing there is motionless --

Nothing save the airs that brood

Over the magic solitude.

Ah, by no wind are stirred those trees

That palpitate like the chill seas

Around the misty Hebrides!

Ah, by no wind those clouds are driven

That rustle through the unquiet Heaven

Uneasily, from morn till even,

Over the violets there that lie

In myriad types of the human eye --

Over the lilies there that wave

And weep above a nameless grave!

They wave: -- from out their fragrant tops

Eternal dews come down in drops.

They weep: -- from off their delicate stems

Perennial tears descend in gems."
"1680542963-72","https://poestories.com/poetry.php","""A Valentine""","https://poestories.com/read/valentine","For her this rhyme is penned, whose luminous eyes,

     Brightly expressive as the twins of Leda,

Shall find her own sweet name, that, nestling lies

     Upon the page, enwrapped from every reader.

Search narrowly the lines! -- they hold a treasure

     Divine -- a talisman -- an amulet

That must be worn at heart. Search well the measure --

     The words -- the syllables! Do not forget

The trivialest point, or you may lose your labor!

     And yet there is in this no Gordian knot

Which one might not undo without a sabre,

     If one could merely comprehend the plot.

Enwritten upon the leaf where now are peering

     Eyes scintillating soul, there lie perdu,

Three eloquent words oft uttered in the hearing

     Of poets, by poets -- as the name is a poet's, too.

Its letters, although naturally lying

     Like the knight Pinto -- Mendez Ferdinando --

Still form a synonym for Truth. -- Cease trying!

     You will not read the riddle, though you do the best you can do.





NOTES:

Poe wrote this poem for a specific person. The woman's name is hidden within the text. Can you find it? Hint: its an acrostic. If you give up, here's the solution."
"1680542966-73","https://poestories.com/poetry.php","""To The River""","https://poestories.com/read/totheriver","Fair river! in thy bright, clear flow

    Of crystal, wandering water,

Thou art an emblem of the glow

        Of beauty -- the unhidden heart --

        The playful maziness of art

  In old Alberto's daughter;



But when within thy wave she looks --

        Which glistens then, and trembles --

Why, then, the prettiest of brooks

        Her worshipper resembles;

For in my heart, as in thy stream,

    Her image deeply lies --

The heart which trembles at the beam

    Of her soul-searching eyes."
"1680542969-74","https://poestories.com/poetry.php","""Spirits of the Dead""","https://poestories.com/read/spiritsofthedead","Thy soul shall find itself alone

'Mid dark thoughts of the grey tomb-stone --

Not one, of all the crowd, to pry

Into thine hour of secrecy:

Be silent in that solitude

    Which is not loneliness -- for then

The spirits of the dead who stood

    In life before thee are again

In death around thee --  and their will

Shall then overshadow thee: be still.



For the night -- tho' clear -- shall frown --

And the stars shall look not down,

From their high thrones in the Heaven,

With light like Hope to mortals given --

But their red orbs, without beam,

To thy weariness shall seem

As a burning and a fever

Which would cling to thee for ever :



Now are thoughts thou shalt not banish --

Now are visions ne'er to vanish --

From thy spirit shall they pass

No more -- like dew-drop from the grass:



The breeze -- the breath of God -- is still --

And the mist upon the hill

Shadowy -- shadowy -- yet unbroken,

Is a symbol and a token --

How it hangs upon the trees,

A mystery of mysteries! --"
"1680542971-75","https://poestories.com/poetry.php","""Sonnet - To Science""","https://poestories.com/read/sonnettoscience","SCIENCE! true daughter of Old Time thou art!

     Who alterest all things with thy peering eyes.

Why preyest thou thus upon the poet’s heart,

     Vulture, whose wings are dull realities?

How should he love thee? or how deem thee wise,

     Who wouldst not leave him in his wandering

To seek for treasure in the jewelled skies

     Albeit he soared with an undaunted wing?

Hast thou not dragged Diana from her car?

     And driven the Hamadryad from the wood

To seek a shelter in some happier star?

     Hast thou not torn the Naiad from her flood,

The Elfin from the green grass, and from me

     The summer dream beneath the tamarind tree?"
"1680542973-76","https://poestories.com/poetry.php","""The Sleeper""","https://poestories.com/read/sleeper","At midnight, in the month of June, 

I stand beneath the mystic moon. 

An opiate vapor, dewy, dim, 

Exhales from out her golden rim, 

And, softly dripping, drop by drop, 

Upon the quiet mountain top, 

Steals drowsily and musically 

Into the universal valley. 

The rosemary nods upon the grave; 

The lily lolls upon the wave; 

Wrapping the fog about its breast, 

The ruin molders into rest; 

Looking like Lethe, see! the lake 

A conscious slumber seems to take, 

And would not, for the world, awake. 

All Beauty sleeps!- and lo! where lies 

Irene, with her Destinies!

 

O, lady bright! can it be right- 

This window open to the night? 

The wanton airs, from the tree-top, 

Laughingly through the lattice drop- 

The bodiless airs, a wizard rout, 

Flit through thy chamber in and out, 

And wave the curtain canopy 

So fitfully- so fearfully- 

Above the closed and fringed lid 

'Neath which thy slumb'ring soul lies hid, 

That, o'er the floor and down the wall, 

Like ghosts the shadows rise and fall! 

Oh, lady dear, hast thou no fear? 

Why and what art thou dreaming here? 

Sure thou art come O'er far-off seas, 

A wonder to these garden trees! 

Strange is thy pallor! strange thy dress, 

Strange, above all, thy length of tress, 

And this all solemn silentness! 



The lady sleeps! Oh, may her sleep, 

Which is enduring, so be deep! 

Heaven have her in its sacred keep! 

This chamber changed for one more holy, 

This bed for one more melancholy, 

I pray to God that she may lie 

For ever with unopened eye, 

While the pale sheeted ghosts go by! 



My love, she sleeps! Oh, may her sleep 

As it is lasting, so be deep! 

Soft may the worms about her creep! 

Far in the forest, dim and old, 

For her may some tall vault unfold- 

Some vault that oft has flung its black 

And winged panels fluttering back, 

Triumphant, o'er the crested palls, 

Of her grand family funerals- 



Some sepulchre, remote, alone, 

Against whose portal she hath thrown, 

In childhood, many an idle stone- 

Some tomb from out whose sounding door 

She ne'er shall force an echo more, 

Thrilling to think, poor child of sin! 

It was the dead who groaned within."
"1680542976-77","https://poestories.com/poetry.php","""The Raven""","https://poestories.com/read/raven","null"
"1680542979-78","https://poestories.com/poetry.php","""Lenore""","https://poestories.com/read/lenore","null"
"1680542981-79","https://poestories.com/poetry.php","""The Haunted Palace""","https://poestories.com/read/hauntedpalace","In the greenest of our valleys 

   By good angels tenanted, 

Once a fair and stately palace- 

   Radiant palace- reared its head. 

In the monarch Thought's dominion- 

   It stood there! 

Never seraph spread a pinion 

   Over fabric half so fair! 

Banners yellow, glorious, golden, 

   On its roof did float and flow, 

(This- all this- was in the olden 

   Time long ago,) 

And every gentle air that dallied, 

   In that sweet day, 

Along the ramparts plumed and pallid, 

   A winged odor went away. 



Wanderers in that happy valley, 

   Through two luminous windows, saw 

Spirits moving musically, 

   To a lute's well-tuned law, 

Round about a throne where, sitting 

   (Porphyrogene!) 

In state his glory well-befitting, 

   The ruler of the realm was seen. 



And all with pearl and ruby glowing 

   Was the fair palace door, 

Through which came flowing, flowing, flowing, 

   And sparkling evermore, 

A troop of Echoes, whose sweet duty 

   Was but to sing, 

In voices of surpassing beauty, 

   The wit and wisdom of their king. 



But evil things, in robes of sorrow, 

   Assailed the monarch's high estate. 

(Ah, let us mourn!- for never morrow 

   Shall dawn upon him desolate!) 

And round about his home the glory 

   That blushed and bloomed, 

Is but a dim-remembered story 

   Of the old time entombed. 



And travellers, now, within that valley, 

   Through the red-litten windows see 

Vast forms, that move fantastically 

   To a discordant melody, 

While, like a ghastly rapid river, 

   Through the pale door 

A hideous throng rush out forever 

   And laugh- but smile no more."
"1680542984-80","https://poestories.com/poetry.php","""For Annie""","https://poestories.com/read/annie","Thank Heaven! the crisis --

    The danger is past,

And the lingering illness

    Is over at last --

And the fever called ""Living""

    Is conquered at last.



Sadly, I know

    I am shorn of my strength,

And no muscle I move

    As I lie at full length --

But no matter! -- I feel

    I am better at length.



And I rest so composedly,

    Now, in my bed,

That any beholder

    Might fancy me dead --

Might start at beholding me,

    Thinking me dead.



The moaning and groaning,

    The sighing and sobbing,

Are quieted now,

    With that horrible throbbing

At heart: -- ah, that horrible,

    Horrible throbbing!



The sickness -- the nausea --

    The pitiless pain --

Have ceased, with the fever

    That maddened my brain --

With the fever called ""Living""

    That burned in my brain.



And oh! of all tortures

    That torture the worst

Has abated -- the terrible

    Torture of thirst

For the naphthaline river

    Of Passion accurst: --

I have drank of a water

    That quenches all thirst: --



Of a water that flows,

    With a lullaby sound,

From a spring but a very few

    Feet under ground --

From a cavern not very far

    Down under ground.



And ah! let it never

    Be foolishly said

That my room it is gloomy

    And narrow my bed;

For man never slept

    In a different bed --

And, to sleep, you must slumber

    In just such a bed.



My tantalized spirit

    Here blandly reposes,

Forgetting, or never

    Regretting its roses --

Its old agitations

    Of myrtles and roses:



For now, while so quietly

    Lying, it fancies

A holier odor

    About it, of pansies --

A rosemary odor,

    Commingled with pansies --

With rue and the beautiful

    Puritan pansies.



And so it lies happily,

    Bathing in many

A dream of the truth

    And the beauty of Annie --

Drowned in a bath

    Of the tresses of Annie.



She tenderly kissed me,

    She fondly caressed,

And then I fell gently

    To sleep on her breast --

Deeply to sleep

    From the heaven of her breast.



When the light was extinguished,

    She covered me warm,

And she prayed to the angels

    To keep me from harm --

To the queen of the angels

    To shield me from harm.



And I lie so composedly,

    Now in my bed,

(Knowing her love)

    That you fancy me dead --

And I rest so contentedly,

    Now in my bed,

(With her love at my breast)

    That you fancy me dead --

That you shudder to look at me,

    Thinking me dead: --



But my heart it is brighter

    Than all of the many

Stars in the sky,

    For it sparkles with Annie --

It glows with the light

    Of the love of my Annie --

With the thought of the light

    Of the eyes of my Annie."
